tconst,title,year,runtime_min,genres,rating,votes,rank,primary_genre,decade,runtime_category,is_classic,votes_millions
tt8110330,Dil Bechara,2020,101,"Comedy,Drama,Romance",8.3,137736,114,Comedy,2020s,normal,False,0.14
tt10295212,Shershaah,2021,135,"Action,Biography,Drama",8.3,136510,115,Action,2020s,normal,False,0.14
tt0091251,Come and See,1985,142,"Drama,Thriller,War",8.3,122979,116,Drama,1980s,normal,False,0.12
tt0044741,Ikiru,1952,143,Drama,8.3,102362,117,Drama,1950s,normal,True,0.1
tt0993846,The Wolf of Wall Street,2013,180,"Biography,Comedy,Crime",8.2,1788459,118,Biography,2010s,long,False,1.79
tt0372784,Batman Begins,2005,140,"Action,Crime,Drama",8.2,1714592,119,Action,2000s,normal,False,1.71
tt1130884,Shutter Island,2010,138,"Drama,Mystery,Thriller",8.2,1648243,120,Drama,2010s,normal,False,1.65
tt0120382,The Truman Show,1998,103,"Comedy,Drama",8.2,1374276,121,Comedy,1990s,normal,False,1.37
tt0266697,Kill Bill: Vol. 1,2003,111,"Action,Crime,Thriller",8.2,1308169,122,Action,2000s,normal,False,1.31
tt0266543,Finding Nemo,2003,100,"Adventure,Animation,Comedy",8.2,1207890,123,Adventure,2000s,normal,False,1.21
tt0477348,No Country for Old Men,2007,122,"Crime,Drama,Thriller",8.2,1190435,124,Crime,2000s,normal,False,1.19
tt0107290,Jurassic Park,1993,127,"Action,Adventure,Sci-Fi",8.2,1178216,125,Action,1990s,normal,False,1.18
tt0167404,The Sixth Sense,1999,107,"Drama,Mystery,Thriller",8.2,1145210,126,Drama,1990s,normal,False,1.15
tt0268978,A Beautiful Mind,2001,135,"Biography,Drama,Mystery",8.2,1053678,127,Biography,2000s,normal,False,1.05
tt15398776,Oppenheimer,2023,180,"Biography,Drama,History",8.2,1034385,128,Biography,2020s,long,False,1.03
tt0095016,Die Hard,1988,132,"Action,Thriller",8.2,1030563,129,Action,1980s,normal,False,1.03
tt0075314,Taxi Driver,1976,114,"Crime,Drama",8.2,1026896,130,Crime,1970s,normal,True,1.03
tt0208092,Snatch,2000,102,"Comedy,Crime",8.2,977367,131,Comedy,2000s,normal,False,0.98
tt0066921,A Clockwork Orange,1971,136,"Crime,Sci-Fi",8.2,937111,132,Crime,1970s,normal,True,0.94
tt1392214,Prisoners,2013,153,"Crime,Drama,Mystery",8.2,935467,133,Crime,2010s,long,False,0.94
tt1745960,Top Gun: Maverick,2022,130,"Action,Drama",8.2,865893,134,Action,2020s,normal,False,0.87
tt0097576,Indiana Jones and the Last Crusade,1989,127,"Action,Adventure",8.2,864109,135,Action,1980s,normal,False,0.86
tt0093058,Full Metal Jacket,1987,116,"Drama,War",8.2,851432,136,Drama,1980s,normal,False,0.85
tt8579674,1917,2019,119,"Action,Drama,War",8.2,771608,137,Action,2010s,normal,False,0.77
tt0457430,Pan's Labyrinth,2006,118,"Drama,Fantasy,War",8.2,746952,138,Drama,2000s,normal,False,0.75
tt0469494,There Will Be Blood,2007,158,Drama,8.2,708783,139,Drama,2000s,long,False,0.71
tt6966692,Green Book,2018,130,"Biography,Comedy,Drama",8.2,686284,140,Biography,2010s,normal,False,0.69
tt0119488,L.A. Confidential,1997,138,"Crime,Drama,Mystery",8.2,659531,141,Crime,1990s,normal,False,0.66
tt0112641,Casino,1995,178,"Crime,Drama",8.2,619776,142,Crime,1990s,long,False,0.62
tt0084787,The Thing,1982,109,"Horror,Mystery,Sci-Fi",8.2,526938,143,Horror,1980s,normal,False,0.53
tt0347149,Howl's Moving Castle,2004,119,"Adventure,Animation,Family",8.2,512407,144,Adventure,2000s,normal,False,0.51
tt0033467,Citizen Kane,1941,119,"Drama,Mystery",8.2,493926,145,Drama,1940s,normal,True,0.49
tt0105695,Unforgiven,1992,130,"Drama,Western",8.2,469152,146,Drama,1990s,normal,False,0.47
tt0052357,Vertigo,1958,128,"Mystery,Romance,Thriller",8.2,459515,147,Mystery,1950s,normal,True,0.46
tt0363163,Downfall,2004,156,"Biography,Drama,History",8.2,400591,148,Biography,2000s,long,False,0.4
tt0031381,Gone with the Wind,1939,238,"Drama,Romance,War",8.2,356822,149,Drama,1930s,long,True,0.36
tt0056592,To Kill a Mockingbird,1962,129,"Crime,Drama",8.2,351834,150,Crime,1960s,normal,True,0.35
tt0053291,Some Like It Hot,1959,121,"Comedy,Music,Romance",8.2,305083,151,Comedy,1950s,normal,True,0.31
tt0070735,The Sting,1973,129,"Comedy,Crime,Drama",8.2,301663,152,Comedy,1970s,normal,True,0.3
tt0059578,For a Few Dollars More,1965,132,"Drama,Western",8.2,300343,153,Drama,1960s,normal,True,0.3
